$GPGGA,120708.00,5641.063,N,01249.828,E,1,07,0.92,30,M,32.5,M,,*7A

$GPGGA,120709.00,5641.063,N,01249.828,E,1,07,0.92,30,M,32.5,M,,*7B

$GPGGA,120710.00,5641.063,N,01249.828,E,1,07,0.92,30,M,32.5,M,,*73

$GPGGA,120711.00,5641.063,N,01249.828,E,1,07,0.92,30,M,32.5,M,,*72

$GPGGA,120712.00,5641.063,N,01249.828,E,1,07,0.92,30,M,32.5,M,,*71

$GPGGA,120713.00,5641.063,N,01249.828,E,1,07,0.92,30,M,32.5,M,,*70

$GPGGA,120715.00,5641.063,N,01249.828,E,1,07,0.92,30,M,32.5,M,,*76

$GPGGA,120716.00,5641.063,N,01249.828,E,1,07,0.92,30,M,32.5,M,,*75

$GPGGA,120717.00,5641.063,N,01249.828,E,1,07,0.92,30,M,32.5,M,,*74

$GPGGA,120718.00,5641.063,N,01249.828,E,1,07,0.92,30,M,32.5,M,,*7B

